Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata,simple_cuisine_group,dining_format,predicted_occasion,occasion_confidence,predicted_vibe,vibe_confidence,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,dominant_emotion,overall_sentiment,sentiment_score,dining_mood
Camphor,Downtown Los Angeles,A refined French restaurant in the Arts District offering a creative menu inspired by French culinary traditions with global influences.,"923 E 3rd St Suite 109, Los Angeles, CA 90013",(213) 626-8888,$$$$,French,Fine-Dining,No,1-Star,4.7,Tue-Sat (dinner only),Reservation Only,No,"Camphor is a French restaurant located in Downtown Los Angeles, Los Angeles. A refined French restaurant in the Arts District offering a creative menu inspired by French culinary traditions with global influences. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.7/5 Cuisine Group: French. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",French,Full Service,Special Occasion,0.3777,Refined & Elegant,0.8531,0.012,0.4099,0.0136,0.7459,0.9576,0.0377,0.0801,neutral,Positive,0.5972,Elegant & Refined
Morihiro,Echo Park,A beloved neighborhood sushi restaurant from legendary Chef Morihiro Onodera serving exceptional omakase with house-made tofu and seasonal ingredients.,"1115 W. Sunset Blvd Suite 100 Los Angeles, CA 90026",(213) 737-1588,$$$$,Japanese,Fine-Dining,No,1-Star,5.0,Tue-Sat (dinner only),Reservation Only,No,"Morihiro is a Japanese restaurant located in Echo Park, Los Angeles. A beloved neighborhood sushi restaurant from legendary Chef Morihiro Onodera serving exceptional omakase with house-made tofu and seasonal ingredients. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese,Tasting Menu / Omakase,Special Occasion,0.4451,Refined & Elegant,0.604,0.012,0.4099,0.0074,0.8919,0.914,0.0377,0.0769,neutral,Positive,0.8747,Warm & Inviting
Kato,Downtown Los Angeles,A Michelin-starred Taiwanese-Asian fusion tasting menu from Chef Jon Yao served in a relaxed industrial-chic setting with innovative seafood preparations.,"777 S. Alameda St. Building 1, Suite 114 Los Angeles, CA 90021",(213) 797-5770,$$$$,Asian / Taiwanese,Trendy,No,1-Star,4.9,Wed-Sun (dinner only),Reservation Only,No,"Kato is a Asian / Taiwanese restaurant located in Downtown Los Angeles, Los Angeles. A Michelin-starred Taiwanese-Asian fusion tasting menu from Chef Jon Yao served in a relaxed industrial-chic setting with innovative seafood preparations. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin 1-Star. Customer Rating: 4.9/5 Cuisine Group: Asian Fusion. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Asian Fusion,Tasting Menu / Omakase,Special Occasion,0.2849,Cozy & Relaxed,0.2744,0.0097,0.0369,0.0074,0.8221,0.914,0.0154,0.1206,neutral,Positive,0.8033,Dramatic & Exciting
Holbox,South Los Angeles,A Yucatecan-style seafood counter from Chef Gilberto Cetina Jr. inside Mercado La Paloma offering some of LA's most delicious and affordable Michelin-starred food.,"3655 S Grand Ave, Los Angeles, CA 90007",(213) 986-9972,$$,Mexican / Seafood,Casual,No,1-Star,5.0,Wed-Sun 11am-8pm,Yes,No,"Holbox is a Mexican / Seafood restaurant located in South Los Angeles, Los Angeles. A Yucatecan-style seafood counter from Chef Gilberto Cetina Jr. inside Mercado La Paloma offering some of LA's most delicious and affordable Michelin-starred food. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5 Cuisine Group: Seafood. Dining Format: A La Carte / Casual. Best For: Business Dining. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Seafood,A La Carte / Casual,Business Dining,0.2531,Cozy & Relaxed,0.6618,0.0085,0.0842,0.0084,0.7591,0.8899,0.0289,0.086,neutral,Positive,0.8666,Warm & Inviting
Gwen Butcher Shop & Restaurant,Hollywood,A glamorous Michelin-starred steakhouse and butcher shop from celebrity Chef Curtis Stone featuring a chandelier-lit dining room and premium dry-aged cuts.,"6600 Sunset Blvd, Los Angeles, CA 90028",(323) 946-7500,$$$$,American Steakhouse,Fine-Dining,No,1-Star,3.0,Tue-Sun (dinner only),Yes,No,"Gwen Butcher Shop & Restaurant is a American Steakhouse restaurant located in Hollywood, Los Angeles. A glamorous Michelin-starred steakhouse and butcher shop from celebrity Chef Curtis Stone featuring a chandelier-lit dining room and premium dry-aged cuts. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5 Cuisine Group: Steakhouse. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: joy. Overall Sentiment: Positive.",Steakhouse,A La Carte / Casual,Special Occasion,0.4442,Refined & Elegant,0.5252,0.012,0.4099,0.0084,0.9349,0.9052,0.0377,0.0963,joy,Positive,0.7457,Elegant & Refined
Heritage,Long Beach,A one-Michelin-star Californian tasting menu inside a converted Craftsman bungalow run by siblings Philip and Lauren Pretty using produce from their namesake urban farm.,"2030 E 7th St, Long Beach, CA 90804",(562) 343-1068,$$$,Californian,Romantic,No,1-Star,4.0,Wed-Sun (dinner only),Reservation Only,No,"Heritage is a Californian restaurant located in Long Beach, Los Angeles. A one-Michelin-star Californian tasting menu inside a converted Craftsman bungalow run by siblings Philip and Lauren Pretty using produce from their namesake urban farm. Price range: $$$. Atmosphere: Romantic. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Contemporary American. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Contemporary American,Tasting Menu / Omakase,Special Occasion,0.4971,Refined & Elegant,0.3208,0.012,0.4099,0.0074,0.4623,0.914,0.0377,0.0969,neutral,Neutral,0.7671,Warm & Inviting
Sushi Inaba,Torrance,A one-Michelin-star intimate omakase sushi bar from Chef Yasuhiro Hirano featuring ultra-premium aged fish and exotic ingredients like mantis shrimp and Japanese oysters.,"20918 Hawthorne Blvd., Torrance, CA 90503",(310) 371-6675,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5.0,Wed-Sun (dinner only),Reservation Only,No,"Sushi Inaba is a Japanese Omakase restaurant located in Torrance, Los Angeles. A one-Michelin-star intimate omakase sushi bar from Chef Yasuhiro Hirano featuring ultra-premium aged fish and exotic ingredients like mantis shrimp and Japanese oysters. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Intimate Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Tasting Menu / Omakase,Special Occasion,0.4717,Intimate,0.6251,0.0097,0.0369,0.0074,0.6401,0.914,0.0091,0.0651,neutral,Neutral,0.6565,Intimate & Personal
Kali,Larchmont Village,A Michelin-starred Californian restaurant in the heart of Larchmont Village from Chefs Kevin Meehan and Drew Langley offering locally sourced seasonal tasting menus.,"5722 Melrose Ave, Los Angeles, CA 90038",(323) 871-4160,$$$,Californian,Romantic,No,1-Star,4.0,Tue-Sun (lunch & dinner),Yes,No,"Kali is a Californian restaurant located in Larchmont Village, Los Angeles. A Michelin-starred Californian restaurant in the heart of Larchmont Village from Chefs Kevin Meehan and Drew Langley offering locally sourced seasonal tasting menus. Price range: $$$. Atmosphere: Romantic. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Contemporary American. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Theatrical & Experiential Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Contemporary American,Tasting Menu / Omakase,Special Occasion,0.4021,Theatrical & Experiential,0.3519,0.0097,0.0369,0.0078,0.8068,0.914,0.0102,0.0744,neutral,Neutral,0.5925,Dramatic & Exciting
Citrin,Santa Monica,A one-Michelin-star contemporary American restaurant from Chef Josiah Citrin serving comforting gourmet classics including cult-favorite lobster bolognese under truffle foam.,"1104 Wilshire Blvd, Santa Monica, CA 90401",(310) 395-0881,$$$,Contemporary American,Fine-Dining,No,1-Star,4.0,Daily (lunch & dinner),Yes,No,"Citrin is a Contemporary American restaurant located in Santa Monica, Los Angeles. A one-Michelin-star contemporary American restaurant from Chef Josiah Citrin serving comforting gourmet classics including cult-favorite lobster bolognese under truffle foam. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.3919,Refined & Elegant,0.4093,0.012,0.4099,0.0074,0.563,0.9576,0.0377,0.0744,neutral,Positive,0.8076,Warm & Inviting
Gucci Osteria,Beverly Hills,A one-Michelin-star Italian restaurant above Rodeo Drive created with guidance from Chef Massimo Bottura offering whimsical modern Italian cuisine with California ingredients.,"347 N Rodeo Dr, Beverly Hills, CA 90210",(310) 278-3451,$$$$,Italian,Fine-Dining,No,1-Star,3.0,Tue-Sun (lunch & dinner),Yes,No,"Gucci Osteria is a Italian restaurant located in Beverly Hills, Los Angeles. A one-Michelin-star Italian restaurant above Rodeo Drive created with guidance from Chef Massimo Bottura offering whimsical modern Italian cuisine with California ingredients. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.372,Hip & Trendy,0.4063,0.0259,0.0264,0.0074,0.9572,0.9576,0.0109,0.077,neutral,Positive,0.6216,Elegant & Refined
Meteora,Hollywood,A one-Michelin-star global contemporary restaurant from Chef Jordan Kahn with a bird's nest entrance and Tulum-meets-primordial-ooze interiors featuring organic and foraged ingredients.,"6703 Melrose Ave, Los Angeles, CA 90038",(323) 402-4311,$$$,Global / Contemporary,Trendy,No,1-Star,4.0,Wed-Sun (dinner only),Reservation Only,No,"Meteora is a Global / Contemporary restaurant located in Hollywood, Los Angeles. A one-Michelin-star global contemporary restaurant from Chef Jordan Kahn with a bird's nest entrance and Tulum-meets-primordial-ooze interiors featuring organic and foraged ingredients. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Contemporary American,Full Service,Special Occasion,0.3822,Hip & Trendy,0.4546,0.0259,0.0264,0.0074,0.4829,0.9576,0.0103,0.0756,neutral,Neutral,0.5197,Dramatic & Exciting
Mori Nozomi,West Los Angeles,A new one-Michelin-star omakase restaurant from Chef Nozomi Mori and her all-female team offering Osaka-style sushi with elements of traditional Japanese tea ceremony.,"11500 W Pico Blvd, Los Angeles, CA 90064",(424) 273-1176,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5.0,Wed-Sun (dinner only),Reservation Only,No,"Mori Nozomi is a Japanese Omakase restaurant located in West Los Angeles, Los Angeles. A new one-Michelin-star omakase restaurant from Chef Nozomi Mori and her all-female team offering Osaka-style sushi with elements of traditional Japanese tea ceremony. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Tasting Menu / Omakase,Special Occasion,0.3843,Refined & Elegant,0.5348,0.012,0.4099,0.0074,0.7309,0.914,0.0377,0.14,neutral,Neutral,0.6285,Elegant & Refined
Nozawa Bar,Beverly Hills,A one-Michelin-star 10-seat omakase counter tucked inside Beverly Hills Sugarfish serving 20+ courses of impeccably fresh fish on warm loosely packed rice.,"212 N Canon Dr, Beverly Hills, CA 90210",(424) 216-6158,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4.0,Mon-Sat (dinner only),Reservation Only,No,"Nozawa Bar is a Japanese Omakase restaurant located in Beverly Hills, Los Angeles. A one-Michelin-star 10-seat omakase counter tucked inside Beverly Hills Sugarfish serving 20+ courses of impeccably fresh fish on warm loosely packed rice. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Tasting Menu / Omakase,Special Occasion,0.3851,Refined & Elegant,0.5819,0.012,0.4099,0.0074,0.7482,0.914,0.0377,0.0876,neutral,Neutral,0.5397,Intimate & Personal
Pasta | Bar,Encino,A one-Michelin-star Italian-inspired multi-course tasting menu from Chef Phillip Frankland Lee featuring locally sourced Californian meat and seafood with handmade pasta centerpieces.,"16101 Ventura Blvd #255, Encino, CA 91436",(818) 208-1805,$$$,Italian,Fine-Dining,No,1-Star,3.0,Wed-Sun (dinner only),Reservation Only,No,"Pasta | Bar is a Italian restaurant located in Encino, Los Angeles. A one-Michelin-star Italian-inspired multi-course tasting menu from Chef Phillip Frankland Lee featuring locally sourced Californian meat and seafood with handmade pasta centerpieces. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5 Cuisine Group: Italian. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Italian,Tasting Menu / Omakase,Special Occasion,0.3671,Refined & Elegant,0.6067,0.012,0.4099,0.0074,0.4265,0.914,0.0377,0.077,neutral,Neutral,0.5564,Elegant & Refined
Shin Sushi,Encino,A one-Michelin-star cozy omakase den from Chef Taketoshi Azumi hidden in a strip mall offering about 18 courses of seasonally aged and delicately seasoned fish.,"16573 Ventura Blvd, Encino, CA 91436",(818) 616-4148,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4.0,Tue-Sat (dinner only),Reservation Only,No,"Shin Sushi is a Japanese Omakase restaurant located in Encino, Los Angeles. A one-Michelin-star cozy omakase den from Chef Taketoshi Azumi hidden in a strip mall offering about 18 courses of seasonally aged and delicately seasoned fish. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Intimate Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Tasting Menu / Omakase,Special Occasion,0.3878,Intimate,0.5357,0.0097,0.0369,0.0074,0.6174,0.914,0.0133,0.0718,neutral,Neutral,0.5972,Intimate & Personal
Uka at Japan House,Hollywood,A one-Michelin-star ultra-traditional kaiseki experience on the top floor of Ovation Hollywood featuring fish sourced weekly from Japan and a seasonally rotating menu.,"6801 Hollywood Blvd 4th Floor, Hollywood, CA 90028",(213) 808-2021,$$$$,Japanese Kaiseki,Fine-Dining,No,1-Star,4.5,Wed-Sun (dinner only),Reservation Only,No,"Uka at Japan House is a Japanese Kaiseki restaurant located in Hollywood, Los Angeles. A one-Michelin-star ultra-traditional kaiseki experience on the top floor of Ovation Hollywood featuring fish sourced weekly from Japan and a seasonally rotating menu. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.5/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Tasting Menu / Omakase,Special Occasion,0.4033,Refined & Elegant,0.6482,0.012,0.4099,0.0074,0.3427,0.914,0.0377,0.1214,neutral,Neutral,0.7677,Elegant & Refined
