Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata
Camphor,Downtown Los Angeles,A refined French restaurant in the Arts District offering a creative menu inspired by French culinary traditions with global influences.,"923 E 3rd St Suite 109, Los Angeles, CA 90013",(213) 626-8888,$$$$,French,Fine-Dining,No,1-Star,4.7,Tue-Sat (dinner only),Reservation Only,No,"Camphor is a French restaurant located in Downtown Los Angeles, Los Angeles. A refined French restaurant in the Arts District offering a creative menu inspired by French culinary traditions with global influences. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.7/5."
Morihiro,Echo Park,A beloved neighborhood sushi restaurant from legendary Chef Morihiro Onodera serving exceptional omakase with house-made tofu and seasonal ingredients.,"1115 W. Sunset Blvd Suite 100 Los Angeles, CA 90026",(213) 737-1588,$$$$,Japanese,Fine-Dining,No,1-Star,5.0,Tue-Sat (dinner only),Reservation Only,No,"Morihiro is a Japanese restaurant located in Echo Park, Los Angeles. A beloved neighborhood sushi restaurant from legendary Chef Morihiro Onodera serving exceptional omakase with house-made tofu and seasonal ingredients. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Kato,Downtown Los Angeles,A Michelin-starred Taiwanese-Asian fusion tasting menu from Chef Jon Yao served in a relaxed industrial-chic setting with innovative seafood preparations.,"777 S. Alameda St. Building 1, Suite 114 Los Angeles, CA 90021",(213) 797-5770,$$$$,Asian / Taiwanese,Trendy,No,1-Star,4.9,Wed-Sun (dinner only),Reservation Only,No,"Kato is a Asian / Taiwanese restaurant located in Downtown Los Angeles, Los Angeles. A Michelin-starred Taiwanese-Asian fusion tasting menu from Chef Jon Yao served in a relaxed industrial-chic setting with innovative seafood preparations. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin 1-Star. Customer Rating: 4.9/5."
Holbox,South Los Angeles,A Yucatecan-style seafood counter from Chef Gilberto Cetina Jr. inside Mercado La Paloma offering some of LA's most delicious and affordable Michelin-starred food.,"3655 S Grand Ave, Los Angeles, CA 90007",(213) 986-9972,$$,Mexican / Seafood,Casual,No,1-Star,5.0,Wed-Sun 11am-8pm,Yes,No,"Holbox is a Mexican / Seafood restaurant located in South Los Angeles, Los Angeles. A Yucatecan-style seafood counter from Chef Gilberto Cetina Jr. inside Mercado La Paloma offering some of LA's most delicious and affordable Michelin-starred food. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Gwen Butcher Shop & Restaurant,Hollywood,A glamorous Michelin-starred steakhouse and butcher shop from celebrity Chef Curtis Stone featuring a chandelier-lit dining room and premium dry-aged cuts.,"6600 Sunset Blvd, Los Angeles, CA 90028",(323) 946-7500,$$$$,American Steakhouse,Fine-Dining,No,1-Star,3.0,Tue-Sun (dinner only),Yes,No,"Gwen Butcher Shop & Restaurant is a American Steakhouse restaurant located in Hollywood, Los Angeles. A glamorous Michelin-starred steakhouse and butcher shop from celebrity Chef Curtis Stone featuring a chandelier-lit dining room and premium dry-aged cuts. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5."
Heritage,Long Beach,A one-Michelin-star Californian tasting menu inside a converted Craftsman bungalow run by siblings Philip and Lauren Pretty using produce from their namesake urban farm.,"2030 E 7th St, Long Beach, CA 90804",(562) 343-1068,$$$,Californian,Romantic,No,1-Star,4.0,Wed-Sun (dinner only),Reservation Only,No,"Heritage is a Californian restaurant located in Long Beach, Los Angeles. A one-Michelin-star Californian tasting menu inside a converted Craftsman bungalow run by siblings Philip and Lauren Pretty using produce from their namesake urban farm. Price range: $$$. Atmosphere: Romantic. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Sushi Inaba,Torrance,A one-Michelin-star intimate omakase sushi bar from Chef Yasuhiro Hirano featuring ultra-premium aged fish and exotic ingredients like mantis shrimp and Japanese oysters.,"20918 Hawthorne Blvd., Torrance, CA 90503",(310) 371-6675,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5.0,Wed-Sun (dinner only),Reservation Only,No,"Sushi Inaba is a Japanese Omakase restaurant located in Torrance, Los Angeles. A one-Michelin-star intimate omakase sushi bar from Chef Yasuhiro Hirano featuring ultra-premium aged fish and exotic ingredients like mantis shrimp and Japanese oysters. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Kali,Larchmont Village,A Michelin-starred Californian restaurant in the heart of Larchmont Village from Chefs Kevin Meehan and Drew Langley offering locally sourced seasonal tasting menus.,"5722 Melrose Ave, Los Angeles, CA 90038",(323) 871-4160,$$$,Californian,Romantic,No,1-Star,4.0,Tue-Sun (lunch & dinner),Yes,No,"Kali is a Californian restaurant located in Larchmont Village, Los Angeles. A Michelin-starred Californian restaurant in the heart of Larchmont Village from Chefs Kevin Meehan and Drew Langley offering locally sourced seasonal tasting menus. Price range: $$$. Atmosphere: Romantic. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Citrin,Santa Monica,A one-Michelin-star contemporary American restaurant from Chef Josiah Citrin serving comforting gourmet classics including cult-favorite lobster bolognese under truffle foam.,"1104 Wilshire Blvd, Santa Monica, CA 90401",(310) 395-0881,$$$,Contemporary American,Fine-Dining,No,1-Star,4.0,Daily (lunch & dinner),Yes,No,"Citrin is a Contemporary American restaurant located in Santa Monica, Los Angeles. A one-Michelin-star contemporary American restaurant from Chef Josiah Citrin serving comforting gourmet classics including cult-favorite lobster bolognese under truffle foam. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Gucci Osteria,Beverly Hills,A one-Michelin-star Italian restaurant above Rodeo Drive created with guidance from Chef Massimo Bottura offering whimsical modern Italian cuisine with California ingredients.,"347 N Rodeo Dr, Beverly Hills, CA 90210",(310) 278-3451,$$$$,Italian,Fine-Dining,No,1-Star,3.0,Tue-Sun (lunch & dinner),Yes,No,"Gucci Osteria is a Italian restaurant located in Beverly Hills, Los Angeles. A one-Michelin-star Italian restaurant above Rodeo Drive created with guidance from Chef Massimo Bottura offering whimsical modern Italian cuisine with California ingredients. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5."
Meteora,Hollywood,A one-Michelin-star global contemporary restaurant from Chef Jordan Kahn with a bird's nest entrance and Tulum-meets-primordial-ooze interiors featuring organic and foraged ingredients.,"6703 Melrose Ave, Los Angeles, CA 90038",(323) 402-4311,$$$,Global / Contemporary,Trendy,No,1-Star,4.0,Wed-Sun (dinner only),Reservation Only,No,"Meteora is a Global / Contemporary restaurant located in Hollywood, Los Angeles. A one-Michelin-star global contemporary restaurant from Chef Jordan Kahn with a bird's nest entrance and Tulum-meets-primordial-ooze interiors featuring organic and foraged ingredients. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Mori Nozomi,West Los Angeles,A new one-Michelin-star omakase restaurant from Chef Nozomi Mori and her all-female team offering Osaka-style sushi with elements of traditional Japanese tea ceremony.,"11500 W Pico Blvd, Los Angeles, CA 90064",(424) 273-1176,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5.0,Wed-Sun (dinner only),Reservation Only,No,"Mori Nozomi is a Japanese Omakase restaurant located in West Los Angeles, Los Angeles. A new one-Michelin-star omakase restaurant from Chef Nozomi Mori and her all-female team offering Osaka-style sushi with elements of traditional Japanese tea ceremony. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Nozawa Bar,Beverly Hills,A one-Michelin-star 10-seat omakase counter tucked inside Beverly Hills Sugarfish serving 20+ courses of impeccably fresh fish on warm loosely packed rice.,"212 N Canon Dr, Beverly Hills, CA 90210",(424) 216-6158,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4.0,Mon-Sat (dinner only),Reservation Only,No,"Nozawa Bar is a Japanese Omakase restaurant located in Beverly Hills, Los Angeles. A one-Michelin-star 10-seat omakase counter tucked inside Beverly Hills Sugarfish serving 20+ courses of impeccably fresh fish on warm loosely packed rice. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Pasta | Bar,Encino,A one-Michelin-star Italian-inspired multi-course tasting menu from Chef Phillip Frankland Lee featuring locally sourced Californian meat and seafood with handmade pasta centerpieces.,"16101 Ventura Blvd #255, Encino, CA 91436",(818) 208-1805,$$$,Italian,Fine-Dining,No,1-Star,3.0,Wed-Sun (dinner only),Reservation Only,No,"Pasta | Bar is a Italian restaurant located in Encino, Los Angeles. A one-Michelin-star Italian-inspired multi-course tasting menu from Chef Phillip Frankland Lee featuring locally sourced Californian meat and seafood with handmade pasta centerpieces. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 3.0/5."
Shin Sushi,Encino,A one-Michelin-star cozy omakase den from Chef Taketoshi Azumi hidden in a strip mall offering about 18 courses of seasonally aged and delicately seasoned fish.,"16573 Ventura Blvd, Encino, CA 91436",(818) 616-4148,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4.0,Tue-Sat (dinner only),Reservation Only,No,"Shin Sushi is a Japanese Omakase restaurant located in Encino, Los Angeles. A one-Michelin-star cozy omakase den from Chef Taketoshi Azumi hidden in a strip mall offering about 18 courses of seasonally aged and delicately seasoned fish. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.0/5."
Uka at Japan House,Hollywood,A one-Michelin-star ultra-traditional kaiseki experience on the top floor of Ovation Hollywood featuring fish sourced weekly from Japan and a seasonally rotating menu.,"6801 Hollywood Blvd 4th Floor, Hollywood, CA 90028",(213) 808-2021,$$$$,Japanese Kaiseki,Fine-Dining,No,1-Star,4.5,Wed-Sun (dinner only),Reservation Only,No,"Uka at Japan House is a Japanese Kaiseki restaurant located in Hollywood, Los Angeles. A one-Michelin-star ultra-traditional kaiseki experience on the top floor of Ovation Hollywood featuring fish sourced weekly from Japan and a seasonally rotating menu. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.5/5."
Maccheroni Republic,Downtown Los Angeles,A Michelin Bib Gourmand Italian-American trattoria offering rustic handmade pastas and classic Italian dishes in a warm casual setting.,"332 S Broadway, Los Angeles, CA 90013",(213) 346-9725,$$,Italian-American,Casual,No,Bib-Gourmand,4.5,Daily (lunch & dinner),Yes,No,"Maccheroni Republic is a Italian-American restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand Italian-American trattoria offering rustic handmade pastas and classic Italian dishes in a warm casual setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.5/5."
The Factory Kitchen,Downtown Los Angeles,A Michelin Bib Gourmand Italian restaurant in the Arts District known for its exceptional handmade pasta and wood-fired dishes in an industrial-chic space.,"1300 Factory Pl, Los Angeles, CA 90013",(213) 996-6000,$$,Italian,Trendy,No,Bib-Gourmand,4.6,Mon-Sat (lunch & dinner),Yes,No,"The Factory Kitchen is a Italian restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand Italian restaurant in the Arts District known for its exceptional handmade pasta and wood-fired dishes in an industrial-chic space. Price range: $$. Atmosphere: Trendy. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5."
Pizzeria Bianco,Downtown Los Angeles,A Michelin Bib Gourmand outpost of the legendary Phoenix pizzeria from Chris Bianco offering wood-fired artisan pizzas with exceptional house-made ingredients.,"1320 E 7th St, Suite 100, Los Angeles, CA 90021",(213) 372-5755,$$,Pizza,Casual,No,Bib-Gourmand,4.7,Wed-Sun (lunch & dinner),Yes,No,"Pizzeria Bianco is a Pizza restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand outpost of the legendary Phoenix pizzeria from Chris Bianco offering wood-fired artisan pizzas with exceptional house-made ingredients. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5."
Tsubaki,Echo Park,A Michelin Bib Gourmand Japanese restaurant and bar offering a refined izakaya menu with Japanese whisky cocktails in a modern relaxed setting.,"1356 Allison Ave, Los Angeles, CA 90026",(213) 900-4900,$$,Japanese,Trendy,No,Bib-Gourmand,4.7,Tue-Sun (dinner only),Yes,No,"Tsubaki is a Japanese restaurant located in Echo Park, Los Angeles. A Michelin Bib Gourmand Japanese restaurant and bar offering a refined izakaya menu with Japanese whisky cocktails in a modern relaxed setting. Price range: $$. Atmosphere: Trendy. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5."
Langer's,Westlake,A Michelin Bib Gourmand iconic LA deli institution celebrated for its hand-cut pastrami sandwiches served since 1947 near MacArthur Park.,"704 S Alvarado St, Los Angeles, CA 90057",(213) 483-8050,$$,Deli,Casual,No,Bib-Gourmand,4.8,Mon-Sat 8am-4pm,No,No,"Langer's is a Deli restaurant located in Westlake, Los Angeles. A Michelin Bib Gourmand iconic LA deli institution celebrated for its hand-cut pastrami sandwiches served since 1947 near MacArthur Park. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5."
Moo's Craft Barbecue,Lincoln Heights,A Michelin Bib Gourmand Texas-style craft barbecue spot from a husband-and-wife team serving brisket smoked low and slow with scratch-made sides.,"2118 N. Broadway, Los Angeles, CA 90031",(323) 686-4133,$$,Barbecue,Casual,No,Bib-Gourmand,4.7,Thu-Sun (lunch only),No,No,"Moo's Craft Barbecue is a Barbecue restaurant located in Lincoln Heights, Los Angeles. A Michelin Bib Gourmand Texas-style craft barbecue spot from a husband-and-wife team serving brisket smoked low and slow with scratch-made sides. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5."
Rasarumah,Los Angeles,A Michelin Bib Gourmand Malaysian restaurant newly added in 2025 offering authentic and vibrant Malaysian street food dishes in a welcoming atmosphere.,"3107 Beverly Blvd, Los Angeles, CA 90026",(213) 567-3547,$$$,Malaysian,Casual,No,Bib-Gourmand,4.8,Tue-Sun (lunch & dinner),Yes,No,"Rasarumah is a Malaysian restaurant located in Los Angeles, Los Angeles. A Michelin Bib Gourmand Malaysian restaurant newly added in 2025 offering authentic and vibrant Malaysian street food dishes in a welcoming atmosphere. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5."
Komal,Los Angeles,A new 2025 Michelin Bib Gourmand Mexican restaurant offering deeply flavored regional Mexican dishes with a focus on corn-based preparations and traditional techniques.,"3655 S Grand Ave Space C-9, Los Angeles, CA 90007",(213) 275-1062,$,Mexican,Casual,No,Bib-Gourmand,4.8,Wed-Sun (lunch & dinner),Yes,No,"Komal is a Mexican restaurant located in Los Angeles, Los Angeles. A new 2025 Michelin Bib Gourmand Mexican restaurant offering deeply flavored regional Mexican dishes with a focus on corn-based preparations and traditional techniques. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5."
Pine & Crane,Downtown Los Angeles,The 2nd Location of the Michelin Bib Gourmand Taiwanese-inspired restaurant in DTLA offering affordable and flavorful dishes.,"1120 S Grand Ave Unit 101, Los Angeles, CA 90015",(213) 536-5292,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (breakfast lunch & dinner),Yes,No,"Pine & Crane is a Asian / Taiwanese restaurant located in Downtown Los Angeles, Los Angeles. The 2nd Location of the Michelin Bib Gourmand Taiwanese-inspired restaurant in DTLA offering affordable and flavorful dishes. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5."
Pine & Crane,Silver Lake,A Michelin Bib Gourmand Taiwanese-inspired restaurant in Silver Lake offering affordable and flavorful dishes including scallion pancakes and braised pork rice.,"1521 Griffith Park Blvd, Los Angeles, CA 90026",(323) 668-1128,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (lunch & dinner),Yes,No,"Pine & Crane is a Asian / Taiwanese restaurant located in Silver Lake, Los Angeles. A Michelin Bib Gourmand Taiwanese-inspired restaurant in Silver Lake offering affordable and flavorful dishes including scallion pancakes and braised pork rice. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5."
71Above,Downtown Los Angeles,A breathtaking contemporary American fine dining restaurant on the 71st floor of the US Bank Tower offering sweeping panoramic views from Malibu to the mountains.,"633 W 5th St 71st Floor, Los Angeles, CA 90071",(213) 712-2683,$$$$,Contemporary American,Fine-Dining,Yes,No,4.7,Tue-Sun (dinner only),Yes,Yes,"71Above is a Contemporary American restaurant located in Downtown Los Angeles, Los Angeles. A breathtaking contemporary American fine dining restaurant on the 71st floor of the US Bank Tower offering sweeping panoramic views from Malibu to the mountains. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.7/5. Rooftop/top-floor dining."
CUT by Wolfgang Puck,Beverly Hills,The most acclaimed steakhouse in the US from Wolfgang Puck set inside the Beverly Wilshire Hotel offering prime and wagyu cuts with sleek modern decor.,"9500 Wilshire Blvd, Beverly Hills, CA 90212",(310) 276-8500,$$$$,Steakhouse,Fine-Dining,No,No,5.0,Daily (dinner only),Yes,Yes,"CUT by Wolfgang Puck is a Steakhouse restaurant located in Beverly Hills, Los Angeles. The most acclaimed steakhouse in the US from Wolfgang Puck set inside the Beverly Wilshire Hotel offering prime and wagyu cuts with sleek modern decor. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5."
Osteria Mozza,Hollywood,One of LA's most prestigious Italian dining destinations from Nancy Silverton offering house-made mozzarella tableside and exceptional pastas and wood-fired dishes.,"6602 Melrose Ave, Los Angeles, CA 90038",(323) 297-0100,$$$$,Italian,Fine-Dining,No,No,4.9,Daily (lunch & dinner),Yes,No,"Osteria Mozza is a Italian restaurant located in Hollywood, Los Angeles. One of LA's most prestigious Italian dining destinations from Nancy Silverton offering house-made mozzarella tableside and exceptional pastas and wood-fired dishes. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.9/5."
Chi Spacca,Hollywood,The most expensive Italian restaurant in LA from the Mozza team specializing in expertly dry-aged meats and Tuscan-inspired dishes in a sophisticated rustic setting.,"6610 Melrose Ave, Los Angeles, CA 90038",(323) 297-1133,$$$$,Italian / Tuscan,Fine-Dining,No,No,5.0,Daily (dinner only),Yes,No,"Chi Spacca is a Italian / Tuscan restaurant located in Hollywood, Los Angeles. The most expensive Italian restaurant in LA from the Mozza team specializing in expertly dry-aged meats and Tuscan-inspired dishes in a sophisticated rustic setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5."
La Boucherie,Downtown Los Angeles,An elegant American steak and seafood restaurant with floor-to-ceiling panoramic LA skyline views a cheese cave and a Wine Spectator award-winning wine list.,"900 Wilshire Blvd fl 71, Los Angeles, CA 90017",(213) 688-7777,$$$$,Steakhouse,Fine-Dining,Yes,No,4.5,Tue-Sun (dinner only),Yes,Yes,"La Boucherie is a Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. An elegant American steak and seafood restaurant with floor-to-ceiling panoramic LA skyline views a cheese cave and a Wine Spectator award-winning wine list. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.5/5. Rooftop/top-floor dining."
Mastro's Ocean Club,Malibu,A world-class steakhouse and seafood destination known for highly acclaimed cuisine live entertainment and an elegant yet energetic atmosphere.,"18412 Pacific Coast Hwy., Malibu, CA 90265",(310) 454-4357,$$$$,Steakhouse / Seafood,Fine-Dining,No,No,4.4,Daily (dinner only),Yes,Yes,"Mastro's Ocean Club is a Steakhouse / Seafood restaurant located in Malibu, Los Angeles. A world-class steakhouse and seafood destination known for highly acclaimed cuisine live entertainment and an elegant yet energetic atmosphere. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.4/5."
Ocean Prime,Beverly Hills,A sophisticated seafood and steakhouse steps from Rodeo Drive offering chef-curated menus signature handcrafted cocktails and a Wine Spectator honored wine list.,"9595 Wilshire Blvd, Beverly Hills, CA 90212",(310) 859-4818,$$$$,Seafood / Steakhouse,Fine-Dining,No,No,4.7,Daily (lunch & dinner),Yes,Yes,"Ocean Prime is a Seafood / Steakhouse restaurant located in Beverly Hills, Los Angeles. A sophisticated seafood and steakhouse steps from Rodeo Drive offering chef-curated menus signature handcrafted cocktails and a Wine Spectator honored wine list. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.7/5."
